project,analyzed_pairs,exact_pairs,exactness_ratio,guarded_analyzed_pairs,guarded_exact_pairs,guarded_exactness_ratio,raw_rows,retained_invocations,jsonl_files
AbsintheFederation,413,407,0.9855,61,57,0.9344,1014,798,42
Ash,30358,29004,0.9554,5214,4753,0.9116,101683,65453,2275
Blockscout,52938,49417,0.9335,6325,5826,0.9211,156694,112718,3750
Credo,11448,8225,0.7185,1293,958,0.7409,23816,23310,551
Ecto,5207,4415,0.8479,857,562,0.6558,10837,10609,195
ElixirStdlib,37685,23150,0.6143,6454,2589,0.4011,155017,150252,1295
ExDoc,1800,1533,0.8517,295,238,0.8068,3627,3529,72
Flame,686,648,0.9446,151,149,0.9868,1529,1435,49
HexPm,12048,10595,0.8794,1376,1254,0.9113,50574,33036,668
Livebook,15459,14105,0.9124,1387,1174,0.8464,73856,51209,662
MixSBOM,7820,5049,0.6457,492,204,0.4146,20663,15437,1512
Nerves,1112,1029,0.9254,147,138,0.9388,2355,2321,103
OpenApiSpex,1693,1544,0.9120,313,243,0.7764,3539,3371,221
Phoenix,3542,3318,0.9368,600,551,0.9183,7244,7030,181
PhoenixLiveView,5290,4480,0.8469,816,641,0.7855,12108,11371,159
Postgrex,7563,2634,0.3483,294,142,0.4830,15685,15447,188
SQL,6098,4283,0.7024,220,57,0.2591,6141,6138,21
Spitfire,1226,1069,0.8719,183,102,0.5574,2720,2638,16
