project,repo_dir,repo_url,scan_ref,scan_commit,non_merge_commits_since_2024_05_01
HexPm,hexpm,https://github.com/hexpm/hexpm.git,origin/main,50587373a09fd55100961cb9c7501e501db472e5,218
Phoenix,phoenix,https://github.com/phoenixframework/phoenix.git,origin/main,d8f26700ea167a4e95d1d32314751ae1b5eb74f2,695
PhoenixLiveView,phoenix_live_view,https://github.com/phoenixframework/phoenix_live_view.git,origin/main,1fedd12dd000ceaf67da6ef26ca5d51dc8a64b54,847
Livebook,livebook,https://github.com/livebook-dev/livebook.git,origin/main,b1d98d2b68d4ee998a78f4214232d92b890a652d,761
Credo,credo,https://github.com/rrrene/credo.git,origin/master,2d116684cd4b16b505031a8d84c6ae8ee48617bd,356
ExDoc,ex_doc,https://github.com/elixir-lang/ex_doc.git,origin/main,bc909685fd41f0e16f6714403bf520301ef3f28f,467
Nerves,nerves,https://github.com/nerves-project/nerves.git,origin/main,713da00682c9f70280ee78e00d994115cc9153eb,222
Ecto,ecto,https://github.com/elixir-ecto/ecto.git,origin/master,cf3a5b7219a552c24aae24bf5eef7354c1184b8a,260
Postgrex,postgrex,https://github.com/elixir-ecto/postgrex.git,origin/master,bd059dc01280f2932b6af5f36a5c8942e031ba5d,85
Flame,flame,https://github.com/phoenixframework/flame.git,origin/main,27b94dafd874cd9747007205d25ee2d81349de07,64
Ash,ash,https://github.com/ash-project/ash.git,origin/main,5790310b740bfaf62ab6ceedc692bfc94c1bab60,2790
Spitfire,spitfire,https://github.com/elixir-tools/spitfire.git,origin/main,47fad18a1bf7ca3ad5bca3b4d06a121e4ddceeb6,100
SQL,sql,https://github.com/elixir-dbvisor/sql.git,origin/main,bd316cd7b793e4d83b3e3545d506a8b00926dd32,90
OpenApiSpex,open_api_spex,https://github.com/open-api-spex/open_api_spex.git,origin/master,f2c71bf320045b76c4bc2ea9a7a056c8d9092197,48
MixSBOM,mix_sbom,https://github.com/erlef/mix_sbom.git,origin/main,c72888d4e1d3f9a7693cc1faf952971216ac1f6a,127
AbsintheFederation,absinthe_federation,https://github.com/DivvyPayHQ/absinthe_federation.git,origin/main,d1735e37509157d0f10116d4f76286b09c86d3a9,20
Blockscout,blockscout,https://github.com/blockscout/blockscout.git,origin/master,d9edfc30527a0e5d4ec86f923f20efcd8bfede01,1
